product_id,product_locale,product_title,product_description,product_bullet_point,product_brand,product_color
B000IHYS2Q,es,"Fujifilm FinePix S6500 - Cámara Digital Compacta 6.3 MP (2.5 Pulgadas LCD, 11x Zoom Óptico)",,"1/1,7 pulgadas Super CCD HR 6,3 millones de píxeles efecto Distancia focal del objetivo: 28-300 mm (relacionada con cámaras de fotos pequeñas de 35 mm) Función de vídeo 640 x 480 30 fps con sonido Detección automática de la cara (Face Detection), tecnología Real Photo Technology, luz de ayuda AF Contenido del envío: tarjeta de memoria xD de 256 MB, 4 pilas AA, correa para el hombro, parasol, tapa protectora de objetivo, cable USB, cable AV. CD-ROM",Fujifilm,"Negro, Plata"
B000KIX65S,es,"Nikon D40 VBA150K001 - Cámara Réflex Digital 6.1 MP (Objetivo 18-55mm), Color Negro",,"Un sensor CCD de formato DX con una resolución de 6.1 MPx y sistema de limpieza integrado Una generosa pantalla LCD de 2,5 pulgadas en diagonal con una resolución de 230.000 px Sensibilidad ISO de 100 a 3200 y disparo en ráfaga a 3 fps Con 3 puntos de enfoque",Nikon,negro
B001EYTW7S,es,"Timberland 6 Inch Premium Waterproof, Botas Chukka Mujer, Amarillo Wheat Nubuck, 39.5 EU",,Cierre: cordones Composición del material: ver descripción Exterior: piel Forma del tacón: plano,Timberland,Amarillo Wheat Nubuck
B0020T04I2,es,"LITORAL Plato Preparado de Fabada, Sin Gluten, 435g",,"LITORAL Fabada Asturiana con un selecto embutido elaborado en Asturias Ingredientes 100% naturales sin gluten, ni aditivos Disfruta de un plato típico de la cocina casera española, con la calidad de LITORAL Fuente natural de fibra Disponible en formato lata: 435g y 865g",Litoral,
B0046ZFHO4,es,TRS Red Split Lentils lentejas rojas,"Lentillas rojas. <br><br>Lentes rojas, bolsa de 500 g.",<p>Lentes rojas. </p><br><p>Contenido: 500 g. </p>,TRS,
B00475B94U,es,"Clarks Orinoco Club Botas Chelsea Mujer, Marrón (Brown Snuff), 39.5 EU",,cuero,Clarks,Marrón Brown Snuff
B004X0KWYW,es,"LITORAL Plato Preparado de Cocido Madrileño, Sin Gluten, 440g",,"LITORAL Cocido Madrileño con un selecto embutido elaborado en Asturias Ingredientes 100% naturales sin gluten, ni aditivos Disfruta de un plato típico de la cocina casera española, con la calidad de LITORAL Disponible en formato lata: 445g Comida española fácil de preparar: al baño maria, en cazo o al microondas",Litoral,
B006Q8VAL8,es,"Fujifilm FinePix S4200 Bridge Camera Cámara Puente 14 MP 1/2.3"" CCD 4288 x 3216 Pixeles Negro - Cámara Digital (14 MP, 4288 x 3216 Pixeles, CCD, 24x, HD, Negro)",,"Resolución efectiva: 14 megapíxeles Zoom de 24 aumentos, de 24 a 576 mm, zoom digital de 6,7 aumentos Monitor LCD y búsqueda de color LCD Monitor TFT LCD de 3 pulgadas con 230.000 puntos de imagen Contenido del envío: baterías estándar, cable USB-AV, tapa de objetivo, correa, software FinePix Viewer para Windows (2000/Me/XP/o superior) y para Macintosh (sistema X/o superior)",Fujifilm,Negro
B009PLRV2A,es,"Luengo Lenteja Cocida en Frasco, 570g",,"Nuestras legumbres son sometidas a un riguroso control de selección y envasado Imprescindibles en una dieta sana, variada y equilibrada Fuente de fibra",Luengo,
B009S68I6A,es,"DX Racer 6 62506SW5 - Silla gaming, color negro/blanco, 78 x 52 x 124-134 cm",,Sillón direccional con el aspecto de un asiento deportivo de coche.Están incluidos los reposabrazos y el cojín. Certificado TÜV. Carga máxima: 100 kg. Totalmente ajustable en altura y respaldo abatible hasta casi 180 °,DX Racer,Negro Y Blanco
