example_id,query,query_id,product_id,product_locale,esci_label,split
284631,base tapizada 160x200 sin patas,13357,B087K9MB1B,es,E,test
284632,base tapizada 160x200 sin patas,13357,B087KBB8V4,es,I,test
284633,base tapizada 160x200 sin patas,13357,B087KBBHSM,es,S,test
284634,base tapizada 160x200 sin patas,13357,B08DTXGJJW,es,S,test
284635,base tapizada 160x200 sin patas,13357,B08JM5M345,es,S,test
284636,base tapizada 160x200 sin patas,13357,B08L81WGD7,es,I,test
284637,base tapizada 160x200 sin patas,13357,B08WJHF623,es,S,test
284638,base tapizada 160x200 sin patas,13357,B08ZNCRLDC,es,S,test
284639,base tapizada 160x200 sin patas,13357,B0953QHV52,es,I,test
284640,base tapizada 160x200 sin patas,13357,B0937C9GTY,es,S,test
284641,base tapizada 160x200 sin patas,13357,B093QP3335,es,S,test
284642,base tapizada 160x200 sin patas,13357,B087K9G4YP,es,S,test
284643,base tapizada 160x200 sin patas,13357,B096ZLG8GF,es,S,test
284644,base tapizada 160x200 sin patas,13357,B096ZVCCPF,es,S,test
284645,base tapizada 160x200 sin patas,13357,B096ZZBBBK,es,I,test
284646,base tapizada 160x200 sin patas,13357,B099ZLJVVB,es,S,test
284647,base tapizada 160x200 sin patas,13357,B09BW133YW,es,S,test
284648,base tapizada 160x200 sin patas,13357,B091BB18QV,es,S,test
284649,base tapizada 160x200 sin patas,13357,B087K4RPXS,es,I,test
284650,base tapizada 160x200 sin patas,13357,B096W9CNHN,es,I,test
284651,base tapizada 160x200 sin patas,13357,B07S946NHS,es,S,test
284652,base tapizada 160x200 sin patas,13357,B00KQPTKNW,es,S,test
284653,base tapizada 160x200 sin patas,13357,B00T9Y84O2,es,I,test
284654,base tapizada 160x200 sin patas,13357,B00T9Y8TQA,es,S,test
284655,base tapizada 160x200 sin patas,13357,B00T9YBL6K,es,E,test
284656,base tapizada 160x200 sin patas,13357,B00TGZPG6S,es,I,test
284657,base tapizada 160x200 sin patas,13357,B00YMSZDZS,es,S,test
284658,base tapizada 160x200 sin patas,13357,B00YMT0IKW,es,S,test
284659,base tapizada 160x200 sin patas,13357,B015FMZ4MQ,es,E,test
284660,base tapizada 160x200 sin patas,13357,B00Y0Q1DLK,es,I,test
284661,base tapizada 160x200 sin patas,13357,B01GHSQUZM,es,S,test
284662,base tapizada 160x200 sin patas,13357,B07S4CB9VT,es,S,test
284663,base tapizada 160x200 sin patas,13357,B01B1JGLCO,es,S,test
284664,base tapizada 160x200 sin patas,13357,B07KT89932,es,S,test
284665,base tapizada 160x200 sin patas,13357,B07DBQNP1X,es,S,test
284666,base tapizada 160x200 sin patas,13357,B07S37RMMP,es,S,test
284667,base tapizada 160x200 sin patas,13357,B06WV791ZY,es,S,test
284668,base tapizada 160x200 sin patas,13357,B01MV80F5C,es,E,test
284669,base tapizada 160x200 sin patas,13357,B07BFFKCHC,es,S,test
284670,base tapizada 160x200 sin patas,13357,B07WFHGLXP,es,S,test
392048,botines marrones mujer tacon medio,18868,B076LXCCXR,es,I,test
392049,botines marrones mujer tacon medio,18868,B07H97VGBP,es,E,test
392050,botines marrones mujer tacon medio,18868,B07H2Y8R6Y,es,E,test
392051,botines marrones mujer tacon medio,18868,B07GQS1C7W,es,I,test
392052,botines marrones mujer tacon medio,18868,B07GN7XRQ9,es,S,test
