workload_id,query_id,query_type,query_text,source_product_id
original-13357,13357,esci_original,base tapizada 160x200 sin patas,
original-18868,18868,esci_original,botines marrones mujer tacon medio,
original-28703,28703,esci_original,convertibles 2 en 1 portátil tactil,
original-31224,31224,esci_original,cámaras bridge baratas,
original-33633,33633,esci_original,disfraz halloween talla grande hombre,
original-38249,38249,esci_original,estantes sin taladro habitacion,
original-43240,43240,esci_original,funda ipad air 4 sin tapa,
original-61533,61533,esci_original,lentejas sin gluten,
original-93437,93437,esci_original,sillas oficina ergonomicas,
original-96202,96202,esci_original,soporte aire acondicionado ventana,
original-100455,100455,esci_original,taladro 24v batería,
original-101352,101352,esci_original,television 28 pulgadas,
semantic-28703,28703,semantic_paraphrase,quiero un ordenador que pueda transformarse en tableta y manejarse con los dedos,
semantic-38249,38249,semantic_paraphrase,necesito poner baldas en el dormitorio sin hacer agujeros en la pared,
semantic-43240,43240,semantic_paraphrase,quiero proteger por detrás mi iPad Air de cuarta generación dejando la pantalla descubierta,
semantic-61533,61533,semantic_paraphrase,busco legumbres que pueda comer una persona celíaca,
semantic-93437,93437,semantic_paraphrase,necesito un asiento cómodo para trabajar ocho horas con buen apoyo para la espalda,
semantic-96202,96202,semantic_paraphrase,cómo puedo fijar el aparato de aire en la ventana para que no se caiga,
semantic-100455,100455,semantic_paraphrase,quiero una herramienta inalámbrica potente para perforar sin depender de un enchufe,
semantic-101352,101352,semantic_paraphrase,busco un televisor pequeño de unas setenta centímetros para la cocina,
probe-0,,product_title_probe,Oraciones Que Rompen Maldiciones: Oraciones Para Vencer Las Influencias Demoníacas de Manera Que Pueda Caminar En Las Promesas de Dios,1599795914
probe-1,,product_title_probe,"Pilgrim's Progress: Updated, Modern English. More Than 100 Illustrations.",1622452399
probe-2,,product_title_probe,Mainstreaming Ecosystem Management: Climate Change Adaptation in the South Western Coastal Region of Bangladesh,3659258040
probe-3,,product_title_probe,Alimenta tu salud con comida real: Una guía práctica para nutrir tu cuerpo sin procesados (Cuerpo y mente),840352188X
probe-4,,product_title_probe,"Los últimos frikis del mundo y el más allá cósmico 4: Los últimos frikis del mundo, 4",8417390138
