sequence,event_id,operation,record_id,product_id,title,brand,color,locale,text,catalog_version,active
1,EVT-001,UPSERT,e1a0e559-6a49-5be5-b617-ec8a4899e975,B000G3T55M,"NIKE Legasee Legging Swoosh Pantalones Deportivos, Mujer, Negro (Black/White 011), S - ficha revisada",NIKE,Negro (Black/White 011),es,"NIKE Legasee Legging Swoosh Pantalones Deportivos, Mujer, Negro (Black/White 011), S. Marca: NIKE. Color: Negro (Black/White 011). Características: Slim fit Soft fabric Elastic belt. Estado del catálogo: ficha revisada",2,True
2,EVT-002,UPSERT,0df8a596-0bc2-5deb-bc84-69b63972f975,B07NV4L2W5,"Interruptor Universal Inteligente con Wi-Fi, con Control Remoto Meross App. Compatible con Alexa, Google Assistant y SmartThings. Modelo MSS710, Paquete de 4. - ficha revisada",meross,Blanco,es,"Interruptor Universal Inteligente con Wi-Fi, con Control Remoto Meross App. Compatible con Alexa, Google Assistant y SmartThings. Modelo MSS710, Paquete de 4.. Marca: meross. Color: Blanco. Características: ★Control Remoto★: Controla desde cualquier lugar el interruptor inteligente de tu casa u oficina mediante la aplicación Meross, disponible para iOS y Android,( IOS 9 y superior, Android 4.1 y superior.) ★Control por Voz★: Compatible con Alexa, Google Assistant e IFTTT, disfrute de una vida inteligente. También muy adecuado para personas mayores o con movilidad reducida. ★Largo Rango de Conexión Wi-Fi★: ¿Le molesta la alta tasa de desconexión de Wi-Fi? El chipset Mediatek IoT permite que nuestro interruptor universal inteligente pueda alcanzar un rango de conexión Wi-Fi más largo y una tasa de desconexión más baja que la mayoría de sus competidores. Funciona con cualquier enrutador Wi-Fi de 2.4GHz o doble banda. (★NOTA: Al conectar este producto, seleccione 2,4 GHz★.) No requiere hub. ★Seguridad★: Meross interruptor inteligente aprobó la certificación europea CE y RoHS (número de certificación: BCTC-FYC180094182C). No permita que otros interruptores inteligentes de baja calidad pongan en peligro la seguridad de su familia. Meross Siempre le da mucha importancia a la seguridad del producto. ★ Servicio ★: No te tengas que preocupar por nada, con soporte técnico 24 horas al día. Si tienes algún problema o duda, ponte en contacto con nosotros, estamos aquí para solucionarlas.. Estado del catálogo: ficha revisada",2,True
3,EVT-003,UPSERT,f5726a4e-1d31-5c25-b109-2f3fb8aa6567,B00BEFAR80,Gel de contacto 250g. axion | Mejora la conductividad de los electrodos TENS y EMS bien usados o de caucho | Gel conductor para electrodos de caucho o parches - ficha revisada,axion,,es,"Gel de contacto 250g. axion | Mejora la conductividad de los electrodos TENS y EMS bien usados o de caucho | Gel conductor para electrodos de caucho o parches. Marca: axion. Características: Contenido: 1 tubo de 250 g. Nuestro gel de contacto es agradable para la piel, inoloro (sin olor) y dirige excelente conductividad. Para abdominal, para cuello, para espalda, para facial, para uso en todo el cuerpo. Leer en descripción el modo de uso. Mejora la conductividad de los electrodos adhesivos bien usados ​​(que ya no pegan) y uso óptimo para los electrodos de caucho o electrodos de goma. Por lo tanto, prolonga su vida útil. Para todo tipo de electrodos TENS, y electroestimulador TENS y EMS muscular. Establece la conductividad de los electrodos de caucho o de goma y garantiza una aplicación agradable del parche. Uso en electrodos para tens, estimulador muscular, electroestimulador muscular, parches electroestimulación, y más. Gel conductor para TENS y para EMS no graso, sin formaldehído. Gel conductor electrodos, para parches autoadhesivos viejos.. Descripción: Nuestro gel de contacto podrá mejorar considerablemente sus sesiones de electroestimulación. Se puede utilizar con sus electrodos de caucho/goma o con los electrodos autoadhesivo ya bien desgastados. Para utilizarlo de la manera correcta, tendrá que sujetar el electrodo con una cinta o elástico, así podrá realizar la sesión de electroestimulacion exitosamente y sin molestias. Generan una mejor conductividad de la corriente de electroestimulación para los electrodos permanentes de goma (sin capa de gel autoadhesiva). Utilícelo también en casa para mejorar la eficiencia de electrodos ya viejos, esto ayudará a prolongar la vida de sus electrodos. Con la cantidad del tubo de 250 g, dispondrá de cantidad suficiente para un uso versátil y duradero. Modo de uso: 1. Aplique una pequeña cantidad del gel sobre los electrodos. 2. Colóquelos sobre la piel con ayuda de una cinta o venda para sujetarlos bien. 3. Comience su sesión de electroestimulación. *No consumir y no utilizar sobre heridas o piel dañada.. Estado del catálogo: ficha revisada",2,True
4,EVT-004,UPSERT,35c0c946-4061-50f6-a672-96e62991f53b,B076HKFZ8N,"Teka - Campana Extractora, Touch Control y Motor ECOPOWER, Modelo DLH 986, Negro, 67 x 90 x 48 cm - ficha revisada",Teka,"Negro, Acero Inoxidable",es,"Teka - Campana Extractora, Touch Control y Motor ECOPOWER, Modelo DLH 986, Negro, 67 x 90 x 48 cm. Marca: Teka. Color: Negro, Acero Inoxidable. Características: Mandos digitales Touch Control con display blanco Tres velocidades + intensiva Programador del tiempo de aspiración Barra de iluminación LED; indicador luminoso de saturación de filtros Dimensiones Alto x Ancho x Profundo (cm): 67 x 90 x 48. Estado del catálogo: ficha revisada",2,True
5,EVT-005,UPSERT,7b2d843d-0607-54a8-863f-934716fda42e,B07JYHSK27,G-Shock [Casio] de CASIO Frogman 35 Aniversario océano de Magma Solar de Radio GWF-1035F-1JR Hombres - ficha revisada,G-Shock,,es,G-Shock [Casio] de CASIO Frogman 35 Aniversario océano de Magma Solar de Radio GWF-1035F-1JR Hombres. Marca: G-Shock. Características: ISO 200 m resistente al agua. Resistente solar Multibanda 6 MAGMA OCEAN 35º Aniversario Limited Importado de Japón.. Estado del catálogo: ficha revisada,2,True
6,EVT-006,UPSERT,e28de4d9-bb45-5a32-b163-4484c54f5bcf,B07N379P73,MOMBEBE COSLAND Traje Cocinero Niño Halloween Conjunto de Camiseta Manga Larga 2 Años Blanco - ficha revisada,MOMBEBE COSLAND,Cocinero,es,"MOMBEBE COSLAND Traje Cocinero Niño Halloween Conjunto de Camiseta Manga Larga 2 Años Blanco. Marca: MOMBEBE COSLAND. Color: Cocinero. Características: MATERIAL: 100% algodón premium, muy cómodo, suave y transpirable. Lavar a mano recomendable, también factible a máquina DISEÑO: botones sobre la frente para quitar la ropa más fácil, cinturón elástico es especialmente diseñado para sus hijos pequeños OCASIÓN: perfecto para el uso diario, espectáculo, regalo de cumpleaños, Halloween y fiesta Paquete incluye: 1x Camiseta+ 1x Pantalones+ 1x Gorro Por favor , elija la TALLA ADECUADA según nuestra tabla de tallas antes de comprar. Descripción: Conjunto de camiseta de algodón de calidad premium para niños, súper cómodo, será un regalo perfecto para sus hijos.. Estado del catálogo: ficha revisada",2,True
7,EVT-007,UPSERT,1666e8ac-f215-5cbb-90be-e04feeff44a8,B08JCQP3JW,"2 Piezas Delantal Infantil Pintura, Bata Impermeable Niño, Blusón Babero con Bolsillos De Manga 3 Larga para 5-10 Niños Dibujar de Arte Escolar, Azul & Rojo (Medio) - ficha revisada",Fangehong,Medio,es,"2 Piezas Delantal Infantil Pintura, Bata Impermeable Niño, Blusón Babero con Bolsillos De Manga 3 Larga para 5-10 Niños Dibujar de Arte Escolar, Azul & Rojo (Medio). Marca: Fangehong. Color: Medio. Características: Material seguro sin BPA. Estos delantales de pintura están hechos de material de poliéster, sin BPA, seguro para los niños. Suave y liviano, los niños no sentirán ninguna presión al usarlo. Tamaño general: el tamaño de los delantales de artista para niños es de 20.9 pulgadas x 16.1 pulgadas, 17.7 pulgadas de manga larga, adecuado para niños y niñas de 5 a 10 años. Impermeable y reutilizable. Puede mantener a los niños pequeños secos y limpios cuando juegan con agua, pintan, cocinan o comen. Puede ser de uso repetido y fácil de limpiar con agua y jabón. Protección eficaz: el diseño popular tiene mangas largas para protección y el diseño de cierre ajustable para un uso conveniente. Además, los 3 bolsillos delanteros ayudan a los niños a sostener el bolígrafo de agua, pintura, bocadillos y toallas de papel, etc. Regalo multipropósito y práctico: nuestro delantal para niños / niños pequeños / niños se puede usar para pintar, escribir, cocinar, dibujar, hacer manualidades, jugar con agua en la escuela o en el hogar, también se puede usar como baberos para niños cuando se alimenta. Un regalo muy práctico para que tus hijos disfruten jugando en cualquier lugar.. Descripción: <p>El delantal de pintura es perfecto para cubrir la ropa mientras pinta, cocina, juega desordenado o come desordenado, etc. El delantal de arte para niños es impermeable y reutilizable, fácil de limpiar y secar rápidamente.</p><p></p><p>Las mamás no solo pueden llevar este delantal artístico para niños en edad preescolar o niños pequeños que se usa como delantal escolar para las lecciones de dibujo, pintura o cocina, sino que también lo pueden tomar como un delantal de juego para juegos desordenados, comidas desordenadas en casa. Ahorrará más tiempo y esfuerzos para las mamás.</p><p><br></p><p></p><p><b>Diseño especial</b></p><p>Mangas largas: las mangas tienen una banda elástica ajustada alrededor, cubren muy bien los brazos y la ropa de su hijo contra la pintura / suciedad, mantienen a los niños y su ropa limpios.</p><p>3 bolsillos: Con 3 bolsillos espaciosos en la parte delantera para poner las herramientas de arte.</p><p>Cierre de almohadilla adhesiva: Art Apron tiene un cierre de almohadilla adhesiva en la parte posterior que tiene un buen agarre, fácil de usar y quitar.</p><p><br></p><p></p><p><b>Paquete incluido</b></p><p>1 pieza bata de pintura azul para niños</p><p>1 pieza bata de pintura roja para niños</p>. Estado del catálogo: ficha revisada",2,True
8,EVT-008,UPSERT,e5a3a7fb-8fb3-5e91-9c54-814075d63ee6,B077FZDNJ2,"Bedsure Manta Cama 90 Invierno - Manta Sofa Grande Polar Reversible de Franela y Sherpa, Manta Sofa Gruesa 150x200 cm de Microfibra Suave y Borreguito, Gris - ficha revisada",Bedsure,Gris,es,"Bedsure Manta Cama 90 Invierno - Manta Sofa Grande Polar Reversible de Franela y Sherpa, Manta Sofa Gruesa 150x200 cm de Microfibra Suave y Borreguito, Gris. Marca: Bedsure. Color: Gris. Características: FILOSOFÍA DE DISEÑO ÚNICO: Manta extra suave y reversible de Franela y Sherpa, le ofrece suavidad diferente de 280 GSM para mejorar su sueño. FABULOSOS BENEFICIOS: La manta de sofá es perfecta para la decoración de su hogar - Mejora el tiro de la manta con una apariencia elegante y superior para complemantar su habitación con una sensación elegante - Proteja una cama para protegar su cama de lujo y una sofá de la suciedad y las manchas. ESCENARIOS DE USO VERSÁTIL: Acurrucarse en su sofá y cama con lujosas y cálidads mantas de Sherpa para disfrutar de las horas felices de la familia mientra ve la televisión favoritas - Perfecto para uso en interiores y exteriores para brindar calor consecutivo en un clima frío, especialmente para viaje y picnic. SELECCIÓN PREMIUM: La manta reversible de Sherpa cómoda, acogedoa y extra suave ofrece una mejor resistencia a la decoloración y las manchas que las de algodón. A diferencia del algodón, tiene poca elasticidad para mantener la forma. CUIDADO CONSEJO: Lavar a máquina en agua fría por separado, circulación suave. No usar lejía, no planchar, no lavar en seco.. Estado del catálogo: ficha revisada",2,True
9,EVT-009,DELETE,096e4fea-09d7-54de-b2a4-3e11a4007cfc,B081JP8CC6,,,,es,,2,False
10,EVT-010,DELETE,addd4d10-3065-535a-b7dc-8191a730c472,B07GWRF23V,,,,es,,2,False
