incoming_id,title,brand,color,text
EVAL-DUP-001,"Bolsa para portátil de 15,6 pulgadas, impermeable, impermeable, para portátil, de negocios, multifuncional, color rosa - distribuido por Joyfeel buy",Joyfeel buy,Pink,"Bolsa para portátil de 15,6 pulgadas, impermeable, impermeable, para portátil, de negocios, multifuncional, color rosa. Marca: . Color: Pink. Características: Material: t - distribuido por Joyfeel buy"
EVAL-DUP-002,"sudaderas capucha para mujer, bbestseller suéter de doble capa de lana polar top cardigan tejido sudaderas para mujer blusa camiseta tops otoño e invierno",BBestseller-Tops de mujer,,"sudaderas capucha para mujer, bbestseller suéter de doble capa de lana polar top cardigan tejido sudaderas para mujer blusa camiseta tops otoño e invierno. marca"
EVAL-DUP-003,"HANEU Motocicleta Amortiguador Anti-robo de bloqueo para Yamaha Xmax 125, 250, 300, 400 Nmax 125 155 Aerox PCX 125 de 155 Forza 300",HANEU,Oro,"HANEU Motocicleta Amortiguador Anti-robo de bloqueo para Yamaha Xmax 125, 250, 300, 400 Nmax 125 155 Aerox PCX 125 de 155 Forza 300 . Marca: . Color: Oro. Características: Tipo"
EVAL-DUP-004,Batman: El contraataque del Caballero Oscuro - distribuido por Ecc Ediciones,Ecc Ediciones,,Batman: El contraataque del Caballero Oscuro . Marca - distribuido por Ecc Ediciones
EVAL-DUP-005,uniqone champú y acondicionador 1000 ml,REVLON PROFESSIONAL,Multicolor,"uniqone champú y acondicionador 1000 ml. marca: . color: multicolor. características: fortalece y protege: cuida el cuero cabelludo, el cabello y el color con el champú p"
EVAL-DUP-006,"oodji Ultra Hombre Pantalones de Algodón con 5 Bolsillos, Azul, 40",oodji Ultra,Azul (7900n),"oodji Ultra Hombre Pantalones de Algodón con 5 Bolsillos, Azul, 40. Marca: . Color: Azul . Características: Las prendas de colección tienen la talla más pequeña de lo normal, te reco"
EVAL-DUP-007,"38899953635 Cinturón, negro, 100 para Mujer - distribuido por s.Oliver",s.Oliver,Negro,"38899953635 Cinturón, negro, 100 para Mujer. Marca: . Color: Negro. Características: Ancho del cinturón: aprox. 3,00 cm; cierre plateado de metal cepillado. Cinturón de p - distribuido por s.Oliver"
EVAL-NEW-001,Bandeja plegable para trabajar desde el sofá,Casa Ágil,madera,Bandeja plegable para trabajar desde el sofá. Marca: Casa Ágil. Color: madera
EVAL-NEW-002,Estuche rígido para guardar cables y cargadores de viaje,Move Kit,gris,Estuche rígido para guardar cables y cargadores de viaje. Marca: Move Kit. Color: gris
EVAL-NEW-003,Protector lavable para asiento trasero de automóvil,Viaje Limpio,negro,Protector lavable para asiento trasero de automóvil. Marca: Viaje Limpio. Color: negro
EVAL-NEW-004,Regla de corte antideslizante para trabajos de encuadernación,Taller Papel,plata,Regla de corte antideslizante para trabajos de encuadernación. Marca: Taller Papel. Color: plata
EVAL-NEW-005,Bolsa térmica vertical para transportar botellas,Frío Urbano,azul,Bolsa térmica vertical para transportar botellas. Marca: Frío Urbano. Color: azul
EVAL-NEW-006,Panel acústico decorativo con patrón geométrico,Sonora,beige,Panel acústico decorativo con patrón geométrico. Marca: Sonora. Color: beige
EVAL-NEW-007,Dispensador de etiquetas reutilizables para despensa,Orden Vivo,blanco,Dispensador de etiquetas reutilizables para despensa. Marca: Orden Vivo. Color: blanco
