incoming_id,title,brand,color,text,is_duplicate,reference_product_id
DEV-DUP-001,"NIKE Legasee Legging Swoosh Pantalones Deportivos, Mujer, Negro , S",NIKE,Negro (Black/White 011),"NIKE Legasee Legging Swoosh Pantalones Deportivos, Mujer, Negro , S. Marca: . Color: Negro . Características: Slim fit Soft fabric Elastic belt",True,B000G3T55M
DEV-DUP-002,"Interruptor Universal Inteligente con Wi-Fi, con Control Remoto App. Compatible con Alexa, Google Assistant y SmartThings. Modelo MSS710, Paquete de 4. - distribuido por meross",meross,Blanco,"Interruptor Universal Inteligente con Wi-Fi, con Control Remoto App. Compatible con Alexa, Google Assistant y SmartThings. Modelo MSS710, Paquete de 4.. Marca: . Color: B - distribuido por meross",True,B07NV4L2W5
DEV-DUP-003,gel de contacto 250g. | mejora la conductividad de los electrodos tens y ems bien usados o de caucho | gel conductor para electrodos de caucho o parches,axion,,gel de contacto 250g. | mejora la conductividad de los electrodos tens y ems bien usados o de caucho | gel conductor para electrodos de caucho o parches. marca: . caracte,True,B00BEFAR80
DEV-DUP-004,"Teka Campana Extractora, Touch Control y Motor ECOPOWER, Modelo DLH 986, Negro, 67 x 90 x 48 cm",Teka,"Negro, Acero Inoxidable","Teka Campana Extractora, Touch Control y Motor ECOPOWER, Modelo DLH 986, Negro, 67 x 90 x 48 cm. Marca: . Color: Negro, Acero Inoxidable. Características: Mandos digitales Tou",True,B076HKFZ8N
DEV-DUP-005,[Casio] de CASIO Frogman 35 Aniversario océano de Magma Solar de Radio GWF-1035F-1JR Hombres - distribuido por G-Shock,G-Shock,,[Casio] de CASIO Frogman 35 Aniversario océano de Magma Solar de Radio GWF-1035F-1JR Hombres. Marca: . Características: ISO 200 m resistente al agua. Resistente solar Mul - distribuido por G-Shock,True,B07JYHSK27
DEV-DUP-006,traje cocinero niño halloween conjunto de camiseta manga larga 2 años blanco,MOMBEBE COSLAND,Cocinero,"traje cocinero niño halloween conjunto de camiseta manga larga 2 años blanco. marca: . color: cocinero. características: material: 100% algodón premium, muy cómodo, suave",True,B07N379P73
DEV-DUP-007,"Bedsure Manta Cama 90 Invierno - Manta Sofa Grande Polar Reversible de Franela y Sherpa, Manta Sofa Gruesa 150x200 cm de Microfibra Suave y Borreguito, Gris",Bedsure,Gris,"Bedsure Manta Cama 90 Invierno - Manta Sofa Grande Polar Reversible de Franela y Sherpa, Manta Sofa Gruesa 150x200 cm de Microfibra Suave y Borreguito, Gris. Marca: . Color: Gris",True,B077FZDNJ2
DEV-NEW-001,Juego educativo magnético para aprender constelaciones,Aula Norte,azul,Juego educativo magnético para aprender constelaciones. Marca: Aula Norte. Color: azul,False,
DEV-NEW-002,Organizador modular de cables para mesa con seis canales,DeskFlow,gris,Organizador modular de cables para mesa con seis canales. Marca: DeskFlow. Color: gris,False,
DEV-NEW-003,Manta de picnic impermeable con mapa celeste,Campo Claro,verde,Manta de picnic impermeable con mapa celeste. Marca: Campo Claro. Color: verde,False,
DEV-NEW-004,Temporizador visual silencioso para técnicas de estudio,Focus Lab,blanco,Temporizador visual silencioso para técnicas de estudio. Marca: Focus Lab. Color: blanco,False,
DEV-NEW-005,Macetero autorregable de sobremesa con indicador mecánico,Raíz Urbana,terracota,Macetero autorregable de sobremesa con indicador mecánico. Marca: Raíz Urbana. Color: terracota,False,
DEV-NEW-006,Kit de reparación de cremalleras para equipaje,Ruta Fácil,negro,Kit de reparación de cremalleras para equipaje. Marca: Ruta Fácil. Color: negro,False,
DEV-NEW-007,Luz de lectura flexible con pinza y filtro cálido,Noche Clara,amarillo,Luz de lectura flexible con pinza y filtro cálido. Marca: Noche Clara. Color: amarillo,False,
